anlge,value
0,223.4
3,86.4
6,90.5
9,99.2
12,720.0
15,73.9
18,276.1
21,263.5
24,720.0
27,720.0
30,720.0
33,720.0
36,720.0
39,720.0
42,720.0
45,720.0
48,720.0
51,596.1
54,720.0
57,720.0
60,720.0
63,714.6
66,720.0
69,720.0
72,720.0
75,720.0
78,720.0
81,720.0
84,720.0
87,720.0
90,720.0
93,720.0
96,720.0
99,720.0
102,720.0
105,720.0
108,720.0
111,720.0
114,720.0
117,720.0
120,720.0
123,720.0
126,720.0
129,720.0
132,720.0
135,720.0
138,720.0
141,720.0
144,720.0
147,720.0
150,240.7
153,274.9
156,245.2
159,232.3
162,227.7
165,223.4
168,219.5
171,219.5
174,219.5
177,219.8
180,219.5
